pickup_datetime,trip_miles,trip_time,base_passenger_fare,distance_bin,log_fare,log_miles,log_time,log_miles_long,log_time_long,long_dummy,log_miles_interact,log_time_interact
10/01/2025 17:35,1.27,6.916666667,8.91,0-2 mi,2.187174242,0.239016901,1.933933958,0,0,0,0,0
02/01/2025 08:08,0.99,5.916666667,8.59,0-2 mi,2.150598736,-0.010050336,1.777773227,0,0,0,0,0
10/01/2025 12:15,1.19,7.8,11.35,0-2 mi,2.429217744,0.173953307,2.054123734,0,0,0,0,0
07/01/2025 06:05,0.77,6.35,7.24,0-2 mi,1.979621206,-0.261364764,1.848454813,0,0,0,0,0
04/01/2025 05:44,2.31,15.91666667,15.17,2-5 mi,2.719319793,0.837247525,2.767366778,0,0,0,0,0
15/01/2025 21:35,3.945,14.78333333,18.72,2-5 mi,2.929592471,1.372448954,2.69350042,0,0,0,0,0
01/01/2025 23:35,1.46,9.7,10.51,0-2 mi,2.352327185,0.378436436,2.272125886,0,0,0,0,0
24/01/2025 02:17,1.66,8.1,12.72,0-2 mi,2.543175558,0.506817602,2.091864062,0,0,0,0,0
15/01/2025 23:35,0.67,4.7,10.98,0-2 mi,2.396075436,-0.400477567,1.547562509,0,0,0,0,0
27/01/2025 10:08,0.99,11.23333333,10.61,0-2 mi,2.361796953,-0.010050336,2.418885549,0,0,0,0,0
11/01/2025 13:20,0.816,8.45,9.92,0-2 mi,2.294552921,-0.203340924,2.134166441,0,0,0,0,0
19/01/2025 09:57,3.905,22.45,20.71,2-5 mi,3.030616675,1.362257783,3.111290614,0,0,0,0,0
01/01/2025 00:35,1.22,6.316666667,8.95,0-2 mi,2.191653532,0.198850859,1.843191643,0,0,0,0,0
17/01/2025 17:48,2.04,20.5,21.72,2-5 mi,3.078233495,0.712949808,3.020424886,0,0,0,0,0
21/01/2025 08:18,3.47,15.66666667,15.96,2-5 mi,2.770085592,1.244154594,2.751535313,0,0,0,0,0
24/01/2025 19:27,2.562,16.88333333,18.58,2-5 mi,2.922085733,0.940788204,2.826326942,0,0,0,0,0
02/01/2025 14:44,1.65,11.6,10.94,0-2 mi,2.392425797,0.500775288,2.451005098,0,0,0,0,0
08/01/2025 17:25,1.42,10.6,9.7,0-2 mi,2.272125886,0.350656872,2.360854001,0,0,0,0,0
15/01/2025 01:10,3.94,15.65,18.22,2-5 mi,2.902519892,1.371180723,2.750470917,0,0,0,0,0
20/01/2025 08:32,3.8,18.33333333,19.03,2-5 mi,2.946016681,1.335001067,2.908720897,0,0,0,0,0
03/01/2025 15:54,2.39,12.95,18.76,2-5 mi,2.931726944,0.871293366,2.561095788,0,0,0,0,0
04/01/2025 14:25,1.33,21.28333333,29.78,0-2 mi,3.393837027,0.285178942,3.057924294,0,0,0,0,0
15/01/2025 11:08,1.15,5.95,8.93,0-2 mi,2.189416395,0.139761942,1.78339122,0,0,0,0,0
02/01/2025 16:54,3.57,15.16666667,18.54,2-5 mi,2.91993056,1.272565596,2.719100037,0,0,0,0,0
